name,abbr,year,source,filter,value_type,value
Armenia,AM,2023,deaths,Y_GE80,value,9314.0
Armenia,AM,2024,deaths,Y_GE80,value,9562.583333333334
Armenia,AM,2015,deaths,Y_LT20,value,605.0
Armenia,AM,2016,deaths,Y_LT20,value,625.0
Armenia,AM,2017,deaths,Y_LT20,value,507.0
Armenia,AM,2018,deaths,Y_LT20,value,453.0
Armenia,AM,2019,deaths,Y_LT20,value,401.0
Armenia,AM,2020,deaths,Y_LT20,value,1167.0
Armenia,AM,2021,deaths,Y_LT20,value,821.0
Armenia,AM,2022,deaths,Y_LT20,value,555.0
Armenia,AM,2023,deaths,Y_LT20,value,461.0
Armenia,AM,2024,deaths,Y_LT20,value,361.8333333333333
Austria,AT,2015,deaths,LT80,value,35919.0
Austria,AT,2016,deaths,LT80,value,34894.0
Austria,AT,2017,deaths,LT80,value,35151.0
Austria,AT,2018,deaths,LT80,value,36022.0
Austria,AT,2019,deaths,LT80,value,35398.0
Austria,AT,2020,deaths,LT80,value,38223.0
Austria,AT,2021,deaths,LT80,value,38017.0
Austria,AT,2022,deaths,LT80,value,37513.0
Austria,AT,2023,deaths,LT80,value,36061.0
Austria,AT,2024,deaths,LT80,value,35585.0
Austria,AT,2015,deaths,TOTAL,value,82969.0
Austria,AT,2016,deaths,TOTAL,value,78842.0
Austria,AT,2017,deaths,TOTAL,value,81311.0
Austria,AT,2018,deaths,TOTAL,value,82063.0
Austria,AT,2019,deaths,TOTAL,value,81557.0
Austria,AT,2020,deaths,TOTAL,value,91196.0
Austria,AT,2021,deaths,TOTAL,value,89538.0
Austria,AT,2022,deaths,TOTAL,value,91577.0
Austria,AT,2023,deaths,TOTAL,value,87668.0
Austria,AT,2024,deaths,TOTAL,value,86541.0
Austria,AT,2015,deaths,Y20-39,value,1103.0
Austria,AT,2016,deaths,Y20-39,value,1032.0
Austria,AT,2017,deaths,Y20-39,value,1022.0
Austria,AT,2018,deaths,Y20-39,value,1071.0
Austria,AT,2019,deaths,Y20-39,value,1068.0
Austria,AT,2020,deaths,Y20-39,value,1052.0
Austria,AT,2021,deaths,Y20-39,value,1158.0
Austria,AT,2022,deaths,Y20-39,value,1182.0
Austria,AT,2023,deaths,Y20-39,value,1131.0
Austria,AT,2024,deaths,Y20-39,value,1214.0
Austria,AT,2015,deaths,Y40-59,value,6963.0
Austria,AT,2016,deaths,Y40-59,value,6626.0
Austria,AT,2017,deaths,Y40-59,value,6524.0
Austria,AT,2018,deaths,Y40-59,value,6705.0
Austria,AT,2019,deaths,Y40-59,value,6322.0
Austria,AT,2020,deaths,Y40-59,value,6605.0
Austria,AT,2021,deaths,Y40-59,value,6676.0
Austria,AT,2022,deaths,Y40-59,value,6402.0
Austria,AT,2023,deaths,Y40-59,value,6071.0
Austria,AT,2024,deaths,Y40-59,value,5952.0
Austria,AT,2015,deaths,Y60-79,value,27358.0
Austria,AT,2016,deaths,Y60-79,value,26731.0
Austria,AT,2017,deaths,Y60-79,value,27114.0
Austria,AT,2018,deaths,Y60-79,value,27798.0
Austria,AT,2019,deaths,Y60-79,value,27514.0
Austria,AT,2020,deaths,Y60-79,value,30072.0
Austria,AT,2021,deaths,Y60-79,value,29740.0
Austria,AT,2022,deaths,Y60-79,value,29486.0
Austria,AT,2023,deaths,Y60-79,value,28380.0
Austria,AT,2024,deaths,Y60-79,value,27934.0
Austria,AT,2015,deaths,Y_GE80,value,47050.0
Austria,AT,2016,deaths,Y_GE80,value,43948.0
Austria,AT,2017,deaths,Y_GE80,value,46160.0
Austria,AT,2018,deaths,Y_GE80,value,46041.0
Austria,AT,2019,deaths,Y_GE80,value,46159.0
Austria,AT,2020,deaths,Y_GE80,value,52973.0
Austria,AT,2021,deaths,Y_GE80,value,51521.0
Austria,AT,2022,deaths,Y_GE80,value,54064.0
Austria,AT,2023,deaths,Y_GE80,value,51607.0
Austria,AT,2024,deaths,Y_GE80,value,50956.0
Austria,AT,2015,deaths,Y_LT20,value,495.0
Austria,AT,2016,deaths,Y_LT20,value,505.0
Austria,AT,2017,deaths,Y_LT20,value,491.0
Austria,AT,2018,deaths,Y_LT20,value,448.0
Austria,AT,2019,deaths,Y_LT20,value,494.0
Austria,AT,2020,deaths,Y_LT20,value,494.0
Austria,AT,2021,deaths,Y_LT20,value,443.0
Austria,AT,2022,deaths,Y_LT20,value,443.0
Austria,AT,2023,deaths,Y_LT20,value,479.0
Austria,AT,2024,deaths,Y_LT20,value,485.0
Belgium,BE,2015,deaths,LT80,value,48112.0
Belgium,BE,2016,deaths,LT80,value,46131.0
Belgium,BE,2017,deaths,LT80,value,45998.0
Belgium,BE,2018,deaths,LT80,value,45994.0
Belgium,BE,2019,deaths,LT80,value,45085.0
Belgium,BE,2020,deaths,LT80,value,51044.0
Belgium,BE,2021,deaths,LT80,value,48652.0
Belgium,BE,2022,deaths,LT80,value,48739.0
Belgium,BE,2023,deaths,LT80,value,47038.0
Belgium,BE,2024,deaths,LT80,value,47166.0
Belgium,BE,2015,deaths,TOTAL,value,112409.0
Belgium,BE,2016,deaths,TOTAL,value,107532.0
Belgium,BE,2017,deaths,TOTAL,value,109278.0
Belgium,BE,2018,deaths,TOTAL,value,110341.0
Belgium,BE,2019,deaths,TOTAL,value,108436.0
Belgium,BE,2020,deaths,TOTAL,value,128432.0
Belgium,BE,2021,deaths,TOTAL,value,111956.0
Belgium,BE,2022,deaths,TOTAL,value,116138.0
Belgium,BE,2023,deaths,TOTAL,value,111165.0
Belgium,BE,2024,deaths,TOTAL,value,111467.0
Belgium,BE,2015,deaths,Y20-39,value,1680.0
Belgium,BE,2016,deaths,Y20-39,value,1665.0
Belgium,BE,2017,deaths,Y20-39,value,1624.0
Belgium,BE,2018,deaths,Y20-39,value,1576.0
Belgium,BE,2019,deaths,Y20-39,value,1506.0
Belgium,BE,2020,deaths,Y20-39,value,1537.0
Belgium,BE,2021,deaths,Y20-39,value,1557.0
Belgium,BE,2022,deaths,Y20-39,value,1501.0
Belgium,BE,2023,deaths,Y20-39,value,1501.0
Belgium,BE,2024,deaths,Y20-39,value,1513.0
Belgium,BE,2015,deaths,Y40-59,value,9814.0
Belgium,BE,2016,deaths,Y40-59,value,9129.0
Belgium,BE,2017,deaths,Y40-59,value,8793.0
Belgium,BE,2018,deaths,Y40-59,value,8666.0
Belgium,BE,2019,deaths,Y40-59,value,8318.0
Belgium,BE,2020,deaths,Y40-59,value,8926.0
Belgium,BE,2021,deaths,Y40-59,value,8512.0
Belgium,BE,2022,deaths,Y40-59,value,8331.0
Belgium,BE,2023,deaths,Y40-59,value,7898.0
Belgium,BE,2024,deaths,Y40-59,value,7712.0
Belgium,BE,2015,deaths,Y60-79,value,35860.0
Belgium,BE,2016,deaths,Y60-79,value,34629.0
Belgium,BE,2017,deaths,Y60-79,value,34798.0
Belgium,BE,2018,deaths,Y60-79,value,34996.0
Belgium,BE,2019,deaths,Y60-79,value,34530.0
Belgium,BE,2020,deaths,Y60-79,value,39909.0
Belgium,BE,2021,deaths,Y60-79,value,37910.0
Belgium,BE,2022,deaths,Y60-79,value,38251.0
Belgium,BE,2023,deaths,Y60-79,value,37102.0
Belgium,BE,2024,deaths,Y60-79,value,37412.0
Belgium,BE,2015,deaths,Y_GE80,value,64297.0
Belgium,BE,2016,deaths,Y_GE80,value,61401.0
Belgium,BE,2017,deaths,Y_GE80,value,63280.0
Belgium,BE,2018,deaths,Y_GE80,value,64347.0
Belgium,BE,2019,deaths,Y_GE80,value,63351.0
Belgium,BE,2020,deaths,Y_GE80,value,77388.0
Belgium,BE,2021,deaths,Y_GE80,value,63304.0
Belgium,BE,2022,deaths,Y_GE80,value,67399.0
Belgium,BE,2023,deaths,Y_GE80,value,64127.0
Belgium,BE,2024,deaths,Y_GE80,value,64301.0
Belgium,BE,2015,deaths,Y_LT20,value,758.0
Belgium,BE,2016,deaths,Y_LT20,value,708.0
Belgium,BE,2017,deaths,Y_LT20,value,783.0
Belgium,BE,2018,deaths,Y_LT20,value,756.0
Belgium,BE,2019,deaths,Y_LT20,value,731.0
Belgium,BE,2020,deaths,Y_LT20,value,672.0
Belgium,BE,2021,deaths,Y_LT20,value,673.0
Belgium,BE,2022,deaths,Y_LT20,value,656.0
Belgium,BE,2023,deaths,Y_LT20,value,537.0
Belgium,BE,2024,deaths,Y_LT20,value,529.0
Bulgaria,BG,2015,deaths,LT80,value,64107.0
Bulgaria,BG,2016,deaths,LT80,value,62033.0
Bulgaria,BG,2017,deaths,LT80,value,62529.0
Bulgaria,BG,2018,deaths,LT80,value,62269.0
Bulgaria,BG,2019,deaths,LT80,value,61992.0
Bulgaria,BG,2020,deaths,LT80,value,73742.0
Bulgaria,BG,2021,deaths,LT80,value,90339.0
Bulgaria,BG,2022,deaths,LT80,value,68771.0
Bulgaria,BG,2023,deaths,LT80,value,59453.0
Bulgaria,BG,2024,deaths,LT80,value,59277.0
Bulgaria,BG,2015,deaths,TOTAL,value,112119.0
Bulgaria,BG,2016,deaths,TOTAL,value,107031.0
Bulgaria,BG,2017,deaths,TOTAL,value,109320.0
Bulgaria,BG,2018,deaths,TOTAL,value,108205.0
Bulgaria,BG,2019,deaths,TOTAL,value,107815.0
Bulgaria,BG,2020,deaths,TOTAL,value,125914.0
Bulgaria,BG,2021,deaths,TOTAL,value,148649.0
Bulgaria,BG,2022,deaths,TOTAL,value,118253.0
Bulgaria,BG,2023,deaths,TOTAL,value,100658.0
Bulgaria,BG,2024,deaths,TOTAL,value,99823.0
Bulgaria,BG,2015,deaths,Y20-39,value,1915.0
Bulgaria,BG,2016,deaths,Y20-39,value,1825.0
Bulgaria,BG,2017,deaths,Y20-39,value,1678.0
Bulgaria,BG,2018,deaths,Y20-39,value,1723.0
Bulgaria,BG,2019,deaths,Y20-39,value,1688.0
Bulgaria,BG,2020,deaths,Y20-39,value,1684.0
Bulgaria,BG,2021,deaths,Y20-39,value,2136.0
Bulgaria,BG,2022,deaths,Y20-39,value,1595.0
Bulgaria,BG,2023,deaths,Y20-39,value,1448.0
Bulgaria,BG,2024,deaths,Y20-39,value,1375.0
Bulgaria,BG,2015,deaths,Y40-59,value,12822.0
Bulgaria,BG,2016,deaths,Y40-59,value,12522.0
Bulgaria,BG,2017,deaths,Y40-59,value,12398.0
Bulgaria,BG,2018,deaths,Y40-59,value,12250.0
Bulgaria,BG,2019,deaths,Y40-59,value,11862.0
Bulgaria,BG,2020,deaths,Y40-59,value,13819.0
Bulgaria,BG,2021,deaths,Y40-59,value,16416.0
Bulgaria,BG,2022,deaths,Y40-59,value,12371.0
Bulgaria,BG,2023,deaths,Y40-59,value,11015.0
Bulgaria,BG,2024,deaths,Y40-59,value,11155.0
Bulgaria,BG,2015,deaths,Y60-79,value,48558.0
Bulgaria,BG,2016,deaths,Y60-79,value,46950.0
Bulgaria,BG,2017,deaths,Y60-79,value,47715.0
Bulgaria,BG,2018,deaths,Y60-79,value,47570.0
Bulgaria,BG,2019,deaths,Y60-79,value,47753.0
Bulgaria,BG,2020,deaths,Y60-79,value,57660.0
Bulgaria,BG,2021,deaths,Y60-79,value,71119.0
Bulgaria,BG,2022,deaths,Y60-79,value,54235.0
Bulgaria,BG,2023,deaths,Y60-79,value,46412.0
Bulgaria,BG,2024,deaths,Y60-79,value,46220.0
Bulgaria,BG,2015,deaths,Y_GE80,value,48012.0
Bulgaria,BG,2016,deaths,Y_GE80,value,44998.0
Bulgaria,BG,2017,deaths,Y_GE80,value,46791.0
Bulgaria,BG,2018,deaths,Y_GE80,value,45936.0
Bulgaria,BG,2019,deaths,Y_GE80,value,45823.0
Bulgaria,BG,2020,deaths,Y_GE80,value,52172.0
Bulgaria,BG,2021,deaths,Y_GE80,value,58310.0
Bulgaria,BG,2022,deaths,Y_GE80,value,49482.0
Bulgaria,BG,2023,deaths,Y_GE80,value,41205.0
Bulgaria,BG,2024,deaths,Y_GE80,value,40546.0
Bulgaria,BG,2015,deaths,Y_LT20,value,812.0
Bulgaria,BG,2016,deaths,Y_LT20,value,736.0
Bulgaria,BG,2017,deaths,Y_LT20,value,738.0
Bulgaria,BG,2018,deaths,Y_LT20,value,726.0
Bulgaria,BG,2019,deaths,Y_LT20,value,689.0
Bulgaria,BG,2020,deaths,Y_LT20,value,579.0
Bulgaria,BG,2021,deaths,Y_LT20,value,668.0
Bulgaria,BG,2022,deaths,Y_LT20,value,570.0
Bulgaria,BG,2023,deaths,Y_LT20,value,578.0
Bulgaria,BG,2024,deaths,Y_LT20,value,527.0
Croatia,HR,2015,deaths,LT80,value,28930.0
Croatia,HR,2016,deaths,LT80,value,26435.0
Croatia,HR,2017,deaths,LT80,value,26985.0
Croatia,HR,2018,deaths,LT80,value,26343.0
Croatia,HR,2019,deaths,LT80,value,25591.0
Croatia,HR,2020,deaths,LT80,value,28534.0
Croatia,HR,2021,deaths,LT80,value,31062.0
Croatia,HR,2022,deaths,LT80,value,27188.0
Croatia,HR,2023,deaths,LT80,value,25461.0
Croatia,HR,2024,deaths,LT80,value,24644.0
Croatia,HR,2015,deaths,TOTAL,value,55140.0
Croatia,HR,2016,deaths,TOTAL,value,51254.0
Croatia,HR,2017,deaths,TOTAL,value,53269.0
Croatia,HR,2018,deaths,TOTAL,value,52562.0
Croatia,HR,2019,deaths,TOTAL,value,51611.0
Croatia,HR,2020,deaths,TOTAL,value,57942.0
Croatia,HR,2021,deaths,TOTAL,value,62496.0
Croatia,HR,2022,deaths,TOTAL,value,56775.0
Croatia,HR,2023,deaths,TOTAL,value,51070.0
Croatia,HR,2024,deaths,TOTAL,value,50395.0
Croatia,HR,2015,deaths,Y20-39,value,736.0
Croatia,HR,2016,deaths,Y20-39,value,628.0
Croatia,HR,2017,deaths,Y20-39,value,629.0
Croatia,HR,2018,deaths,Y20-39,value,615.0
Croatia,HR,2019,deaths,Y20-39,value,624.0
Croatia,HR,2020,deaths,Y20-39,value,610.0
Croatia,HR,2021,deaths,Y20-39,value,635.0
Croatia,HR,2022,deaths,Y20-39,value,589.0
Croatia,HR,2023,deaths,Y20-39,value,540.0
Croatia,HR,2024,deaths,Y20-39,value,503.0
Croatia,HR,2015,deaths,Y40-59,value,5242.0
Croatia,HR,2016,deaths,Y40-59,value,4623.0
Croatia,HR,2017,deaths,Y40-59,value,4638.0
Croatia,HR,2018,deaths,Y40-59,value,4632.0
Croatia,HR,2019,deaths,Y40-59,value,4377.0
Croatia,HR,2020,deaths,Y40-59,value,4471.0
Croatia,HR,2021,deaths,Y40-59,value,4977.0
Croatia,HR,2022,deaths,Y40-59,value,4189.0
Croatia,HR,2023,deaths,Y40-59,value,4067.0
Croatia,HR,2024,deaths,Y40-59,value,3785.0
Croatia,HR,2015,deaths,Y60-79,value,22629.0
Croatia,HR,2016,deaths,Y60-79,value,20892.0
Croatia,HR,2017,deaths,Y60-79,value,21428.0
Croatia,HR,2018,deaths,Y60-79,value,20809.0
Croatia,HR,2019,deaths,Y60-79,value,20321.0
Croatia,HR,2020,deaths,Y60-79,value,23178.0
Croatia,HR,2021,deaths,Y60-79,value,25192.0
Croatia,HR,2022,deaths,Y60-79,value,22154.0
Croatia,HR,2023,deaths,Y60-79,value,20604.0
Croatia,HR,2024,deaths,Y60-79,value,20153.0
Croatia,HR,2015,deaths,Y_GE80,value,26210.0
Croatia,HR,2016,deaths,Y_GE80,value,24819.0
Croatia,HR,2017,deaths,Y_GE80,value,26279.0
Croatia,HR,2018,deaths,Y_GE80,value,26215.0
Croatia,HR,2019,deaths,Y_GE80,value,26018.0
Croatia,HR,2020,deaths,Y_GE80,value,29407.0
Croatia,HR,2021,deaths,Y_GE80,value,31434.0
Croatia,HR,2022,deaths,Y_GE80,value,29587.0
Croatia,HR,2023,deaths,Y_GE80,value,25609.0
Croatia,HR,2024,deaths,Y_GE80,value,25751.0
Croatia,HR,2015,deaths,Y_LT20,value,323.0
Croatia,HR,2016,deaths,Y_LT20,value,292.0
Croatia,HR,2017,deaths,Y_LT20,value,290.0
Croatia,HR,2018,deaths,Y_LT20,value,287.0
Croatia,HR,2019,deaths,Y_LT20,value,269.0
Croatia,HR,2020,deaths,Y_LT20,value,275.0
Croatia,HR,2021,deaths,Y_LT20,value,258.0
Croatia,HR,2022,deaths,Y_LT20,value,256.0
Croatia,HR,2023,deaths,Y_LT20,value,250.0
Croatia,HR,2024,deaths,Y_LT20,value,203.0
Cyprus,CY,2015,deaths,LT80,value,2699.0
Cyprus,CY,2016,deaths,LT80,value,2520.0
Cyprus,CY,2017,deaths,LT80,value,2667.0
Cyprus,CY,2018,deaths,LT80,value,2682.0
Cyprus,CY,2019,deaths,LT80,value,2768.0
Cyprus,CY,2020,deaths,LT80,value,2997.0
Cyprus,CY,2021,deaths,LT80,value,3367.0
Cyprus,CY,2022,deaths,LT80,value,3191.0
Cyprus,CY,2023,deaths,LT80,value,3006.0
Cyprus,CY,2024,deaths,LT80,value,2815.0
Cyprus,CY,2015,deaths,TOTAL,value,5983.0
Cyprus,CY,2016,deaths,TOTAL,value,5448.0
Cyprus,CY,2017,deaths,TOTAL,value,6009.0
Cyprus,CY,2018,deaths,TOTAL,value,5798.0
Cyprus,CY,2019,deaths,TOTAL,value,6218.0
Cyprus,CY,2020,deaths,TOTAL,value,6650.0
Cyprus,CY,2021,deaths,TOTAL,value,7219.0
Cyprus,CY,2022,deaths,TOTAL,value,7208.0
Cyprus,CY,2023,deaths,TOTAL,value,6688.0
Cyprus,CY,2024,deaths,TOTAL,value,6536.0
Cyprus,CY,2015,deaths,Y20-39,value,120.0
Cyprus,CY,2016,deaths,Y20-39,value,86.0
Cyprus,CY,2017,deaths,Y20-39,value,104.0
Cyprus,CY,2018,deaths,Y20-39,value,104.0
Cyprus,CY,2019,deaths,Y20-39,value,125.0
Cyprus,CY,2020,deaths,Y20-39,value,116.0
Cyprus,CY,2021,deaths,Y20-39,value,138.0
Cyprus,CY,2022,deaths,Y20-39,value,96.0
Cyprus,CY,2023,deaths,Y20-39,value,129.0
Cyprus,CY,2024,deaths,Y20-39,value,86.0
Cyprus,CY,2015,deaths,Y40-59,value,473.0
Cyprus,CY,2016,deaths,Y40-59,value,457.0
Cyprus,CY,2017,deaths,Y40-59,value,467.0
Cyprus,CY,2018,deaths,Y40-59,value,426.0
Cyprus,CY,2019,deaths,Y40-59,value,452.0
Cyprus,CY,2020,deaths,Y40-59,value,539.0
Cyprus,CY,2021,deaths,Y40-59,value,588.0
Cyprus,CY,2022,deaths,Y40-59,value,484.0
Cyprus,CY,2023,deaths,Y40-59,value,507.0
Cyprus,CY,2024,deaths,Y40-59,value,420.0
Cyprus,CY,2015,deaths,Y60-79,value,2063.0
Cyprus,CY,2016,deaths,Y60-79,value,1929.0
Cyprus,CY,2017,deaths,Y60-79,value,2057.0
Cyprus,CY,2018,deaths,Y60-79,value,2102.0
Cyprus,CY,2019,deaths,Y60-79,value,2149.0
Cyprus,CY,2020,deaths,Y60-79,value,2303.0
Cyprus,CY,2021,deaths,Y60-79,value,2593.0
Cyprus,CY,2022,deaths,Y60-79,value,2552.0
Cyprus,CY,2023,deaths,Y60-79,value,2306.0
Cyprus,CY,2024,deaths,Y60-79,value,2249.0
Cyprus,CY,2015,deaths,Y_GE80,value,3284.0
Cyprus,CY,2016,deaths,Y_GE80,value,2928.0
Cyprus,CY,2017,deaths,Y_GE80,value,3342.0
Cyprus,CY,2018,deaths,Y_GE80,value,3116.0
Cyprus,CY,2019,deaths,Y_GE80,value,3450.0
Cyprus,CY,2020,deaths,Y_GE80,value,3653.0
Cyprus,CY,2021,deaths,Y_GE80,value,3852.0
Cyprus,CY,2022,deaths,Y_GE80,value,4017.0
Cyprus,CY,2023,deaths,Y_GE80,value,3682.0
Cyprus,CY,2024,deaths,Y_GE80,value,3721.0
Cyprus,CY,2015,deaths,Y_LT20,value,43.0
Cyprus,CY,2016,deaths,Y_LT20,value,48.0
Cyprus,CY,2017,deaths,Y_LT20,value,39.0
Cyprus,CY,2018,deaths,Y_LT20,value,50.0
Cyprus,CY,2019,deaths,Y_LT20,value,42.0
Cyprus,CY,2020,deaths,Y_LT20,value,39.0
Cyprus,CY,2021,deaths,Y_LT20,value,48.0
Cyprus,CY,2022,deaths,Y_LT20,value,59.0
Cyprus,CY,2023,deaths,Y_LT20,value,64.0
Cyprus,CY,2024,deaths,Y_LT20,value,60.0
Czechia,CZ,2015,deaths,LT80,value,61218.0
Czechia,CZ,2016,deaths,LT80,value,59004.0
Czechia,CZ,2017,deaths,LT80,value,60522.0
Czechia,CZ,2018,deaths,LT80,value,61906.0
Czechia,CZ,2019,deaths,LT80,value,61685.0
Czechia,CZ,2020,deaths,LT80,value,70782.0
Czechia,CZ,2021,deaths,LT80,value,79808.0
Czechia,CZ,2022,deaths,LT80,value,65340.0
Czechia,CZ,2023,deaths,LT80,value,61465.0
Czechia,CZ,2024,deaths,LT80,value,59636.0
Czechia,CZ,2015,deaths,TOTAL,value,113174.0
Czechia,CZ,2016,deaths,TOTAL,value,107237.0
Czechia,CZ,2017,deaths,TOTAL,value,111007.0
Czechia,CZ,2018,deaths,TOTAL,value,112604.0
Czechia,CZ,2019,deaths,TOTAL,value,112040.0
Czechia,CZ,2020,deaths,TOTAL,value,131494.0
Czechia,CZ,2021,deaths,TOTAL,value,139150.0
Czechia,CZ,2022,deaths,TOTAL,value,119849.0
Czechia,CZ,2023,deaths,TOTAL,value,112339.0
Czechia,CZ,2024,deaths,TOTAL,value,110878.0
Czechia,CZ,2015,deaths,Y20-39,value,1969.0
Czechia,CZ,2016,deaths,Y20-39,value,1828.0
Czechia,CZ,2017,deaths,Y20-39,value,1773.0
Czechia,CZ,2018,deaths,Y20-39,value,1819.0
Czechia,CZ,2019,deaths,Y20-39,value,1739.0
Czechia,CZ,2020,deaths,Y20-39,value,1756.0
Czechia,CZ,2021,deaths,Y20-39,value,1852.0
Czechia,CZ,2022,deaths,Y20-39,value,1783.0
Czechia,CZ,2023,deaths,Y20-39,value,1742.0
Czechia,CZ,2024,deaths,Y20-39,value,1630.0
Czechia,CZ,2015,deaths,Y40-59,value,10291.0
Czechia,CZ,2016,deaths,Y40-59,value,9822.0
Czechia,CZ,2017,deaths,Y40-59,value,9710.0
Czechia,CZ,2018,deaths,Y40-59,value,9703.0
Czechia,CZ,2019,deaths,Y40-59,value,9671.0
Czechia,CZ,2020,deaths,Y40-59,value,10715.0
Czechia,CZ,2021,deaths,Y40-59,value,12233.0
Czechia,CZ,2022,deaths,Y40-59,value,10296.0
Czechia,CZ,2023,deaths,Y40-59,value,9959.0
Czechia,CZ,2024,deaths,Y40-59,value,9648.0
Czechia,CZ,2015,deaths,Y60-79,value,48378.0
Czechia,CZ,2016,deaths,Y60-79,value,46747.0
Czechia,CZ,2017,deaths,Y60-79,value,48445.0
Czechia,CZ,2018,deaths,Y60-79,value,49784.0
Czechia,CZ,2019,deaths,Y60-79,value,49663.0
Czechia,CZ,2020,deaths,Y60-79,value,57787.0
Czechia,CZ,2021,deaths,Y60-79,value,65193.0
Czechia,CZ,2022,deaths,Y60-79,value,52702.0
Czechia,CZ,2023,deaths,Y60-79,value,49265.0
Czechia,CZ,2024,deaths,Y60-79,value,47842.0
Czechia,CZ,2015,deaths,Y_GE80,value,51956.0
Czechia,CZ,2016,deaths,Y_GE80,value,48233.0
Czechia,CZ,2017,deaths,Y_GE80,value,50485.0
Czechia,CZ,2018,deaths,Y_GE80,value,50698.0
Czechia,CZ,2019,deaths,Y_GE80,value,50355.0
Czechia,CZ,2020,deaths,Y_GE80,value,60712.0
Czechia,CZ,2021,deaths,Y_GE80,value,59342.0
Czechia,CZ,2022,deaths,Y_GE80,value,54509.0
Czechia,CZ,2023,deaths,Y_GE80,value,50874.0
Czechia,CZ,2024,deaths,Y_GE80,value,51242.0
Czechia,CZ,2015,deaths,Y_LT20,value,580.0
Czechia,CZ,2016,deaths,Y_LT20,value,607.0
Czechia,CZ,2017,deaths,Y_LT20,value,594.0
Czechia,CZ,2018,deaths,Y_LT20,value,600.0
Czechia,CZ,2019,deaths,Y_LT20,value,612.0
Czechia,CZ,2020,deaths,Y_LT20,value,524.0
Czechia,CZ,2021,deaths,Y_LT20,value,530.0
Czechia,CZ,2022,deaths,Y_LT20,value,559.0
Czechia,CZ,2023,deaths,Y_LT20,value,499.0
Czechia,CZ,2024,deaths,Y_LT20,value,516.0
Denmark,DK,2015,deaths,LT80,value,26525.0
Denmark,DK,2016,deaths,LT80,value,26234.0
Denmark,DK,2017,deaths,LT80,value,25955.0
Denmark,DK,2018,deaths,LT80,value,26780.0
